raterParticipantId	coreRaterIntercept	coreRaterFactor1	crhCrnhRatioDifference	meanNoteScore	raterAgreeRatio	successfulRatingHelpfulCount	successfulRatingNotHelpfulCount	successfulRatingTotal	unsuccessfulRatingHelpfulCount	unsuccessfulRatingNotHelpfulCount	unsuccessfulRatingTotal	ratingsAwaitingMoreRatings	ratedAfterDecision	notesCurrentlyRatedHelpful	notesCurrentlyRatedNotHelpful	notesAwaitingMoreRatings	enrollmentState	successfulRatingNeededToEarnIn	authorTopNotHelpfulTagValues	timestampOfLastStateChange	aboveHelpfulnessThreshold	isEmergingWriter	aggregateRatingReceivedTotal	timestampOfLastEarnOut
00D153FBA11DDACABA6D0ED4EDB6F85DB4ECC7C3E557A79413ACF8019BEDF6A8	0.19301453	0.37265232	0.0	0.12027608496802193	1.0	2.0	0.0	2.0	0.0	0.0	0.0	3.0	24.0	0.0	0.0	9.0	4.0	5.0	2,11	1677899543974.5508	True	False	501.0	1.0
00DA16792E6096B41332C1CB4A931FC3B9980AFC2B8C3A82DEAC410A7000D85A	0.29005808	0.56070375	0.0	0.0868074893951416	1.0	25.0	6.0	31.0	0.0	1.0	1.0	32.0	266.0	0.0	0.0	2.0	0.0	5.0	4,11	1677899543974.5508	True	False	154.0	1.0
00E64FF6932017F8953568B93AA13BB94C277A6AD40745211AC6314CDFC61067	0.1382899	0.4918316			1.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	50.0				0.0	5.0		1677899543974.5508	True	False		1.0
00EFA7134411292EE1E24B6B1604FA287A2940864A114A47AED29DDCB499682C	0.34481254	0.2053699			1.0	5.0	0.0	5.0	0.0	0.0	0.0	1.0	25.0				0.0	5.0		1677899543974.5508	True	False		1.0
00F20FF0ACD240D0E1D386D6E376B1602534CFF174D6CFE3EB454BF0CBC3A538	0.11889497	-0.28696615			1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	19.0				4.0	5.0		1677899543974.5508	True	False		1.0
00F308D69926023991A12097293E2B3E13113D78B336606B8F088FCD4B441DC1	0.059725005	0.20677787			1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	11.0				4.0	5.0		1677899543974.5508	True	False		1.0
01053131BDABBBBE9D56BEFD69BA63DF1D851265056F517BD5CD89C703183E9E	0.21880893	0.16109039			1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	22.0				4.0	5.0		1677899543974.5508	True	False		1.0
01064AD0229D93FAFA70CC61E07019FCE1A4F3FD8957468E3565947B61D13C35	0.3149236	-0.14533919			1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	21.0				4.0	5.0		1677899543974.5508	True	False		1.0
0106FAB16EF0235E7FCD544C42702705C31D60D5C599E88128726957AAF7FD19	0.16414925	-0.44765058			1.0	4.0	1.0	5.0	0.0	0.0	0.0	6.0	32.0				0.0	5.0		1677899543974.5508	True	False		1.0
010EA380068367803DFA5832C7AFDFFE2026561A655D28A092E9FB61E9E2B908	0.05641227	-0.4955812			1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	31.0				4.0	5.0		1677899543974.5508	True	False		1.0
01131A49FD848B6ED4366B6666B4F35E1B557865B6F08A5954892B2DCA7DD155	0.2823549	-0.3111692			1.0	5.0	2.0	7.0	0.0	0.0	0.0	5.0	64.0				0.0	5.0		1677899543974.5508	True	False		1.0
011926A6912E4A6715FAA39C52C0D4619F75DFEA7A682DD49FC1B9A5CE3C0E4D	0.22893925	-0.6558269			0.6666666666666666	1.0	2.0	3.0	0.0	2.0	2.0	5.0	32.0				4.0	5.0		1677899543974.5508	True	False		1.0
013DD61CE65BBA9E6CCB9A8337CF7F6B5655C863112E0EB81E3D16B80A7A6371	0.25254297	0.29479042			1.0	5.0	3.0	8.0	0.0	0.0	0.0	3.0	27.0				0.0	5.0		1677899543974.5508	True	False		1.0
0146983BF936F8BAF7D4DF2EF15BB787279D2B9729C6D64CA87E47DCAB737A8D	0.06958018	-0.6044961			1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	36.0				4.0	5.0		1677899543974.5508	True	False		1.0
014A6D1B25F855483B5B55399A82EAD809C7EAEE33441C2B041AFBCB3EE960B3	0.100436255	0.2947286			1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	20.0				4.0	5.0		1677899543974.5508	True	False		1.0
014AF33BD5AE82F9E45AD56B973BAAC0DD97263A02E33A15B946E7677FFE5193	0.16353814	0.6883588	0.0	0.08842617273330688	1.0	2.0	0.0	2.0	0.0	0.0	0.0	7.0	52.0	0.0	0.0	2.0	4.0	5.0	1,3	1677899543974.5508	True	False	16.0	1.0
01519D5A6EA15FAD322979210E80793D735069BBE51822B1CC6E59AE1E173C12	0.063802324	-0.4960263			0.8571428571428571	6.0	0.0	6.0	1.0	0.0	1.0	1.0	51.0				0.0	5.0		1677899543974.5508	True	False		1.0
0151FD5FF4117DE4E31E9CF2D5DE26DC3F9AADD41E3EE5618197BCBD378432E1	0.23867428	0.09873405	0.0	0.10833929479122162	1.0	8.0	1.0	9.0	0.0	0.0	0.0	8.0	121.0	0.0	0.0	2.0	0.0	5.0	4,12	1677899543974.5508	True	False	33.0	1.0
0152E32D5C15FBC0D8E60D0AB8FD90CF22EFECDC7FA8D658A8B276AB39484B03	0.18290198	0.74586403	0.0	0.19924665987491608	1.0	8.0	0.0	8.0	0.0	0.0	0.0	20.0	116.0	1.0	0.0	6.0	0.0	5.0	1,12	1677899543974.5508	True	False	71.0	1.0
0156A433AF61425F113302E4DD8539710F7B6CC14867FF98F0D6A32D491AE21C	0.22718889	0.11624908	0.2222222222222222	0.22277212142944336	1.0	3.0	2.0	5.0	0.0	0.0	0.0	2.0	24.0	2.0	0.0	8.0	0.0	5.0	4,12	1677899543974.5508	True	False	371.0	1.0
015F7841FF715D6E2FF46BB3A9DF05BD3728ADCE9BA5A21FAD96026005602EBA	0.020054128	0.42452282			0.6666666666666666	2.0	0.0	2.0	1.0	0.0	1.0	1.0	19.0				4.0	5.0		1677899543974.5508	True	False		1.0
0165B5392A89AE56448053EE9883A9F77150328594E6DE09B560C14D3F09EB6C	0.10656266	-0.23835763			1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	9.0				4.0	5.0		1677899543974.5508	True	False		1.0
0166FDBA387D493EEBB857938C7DED94BB6417A77D3618D54D3EAEE00A587C94	0.21386491	0.35501415			0.75	5.0	1.0	6.0	1.0	3.0	4.0	10.0	105.0				0.0	5.0		1677899543974.5508	True	False		1.0
01744AC2119BC734EAF9334E1B4BE021AAE6CCA2FC3A6CDD8CF6D679EF3C1125	0.20925055	-0.08875867	0.0	0.1796954870223999	1.0	4.0	1.0	5.0	0.0	0.0	0.0	2.0	19.0	0.0	0.0	1.0	0.0	5.0		1677899543974.5508	True	False	41.0	1.0
018A0FC78B09D24D106AFFEDF1C5CE30E2C6CBB16259DE9E8955CC79426D583C	0.29759368	0.18263908			0.9230769230769231	13.0	0.0	13.0	1.0	0.0	1.0	4.0	82.0				0.0	5.0		1677899543974.5508	True	False		1.0
018B82C336C60BB3213117538799EA077C4D7D2470A71C1EE886AF4D782F4B58	0.14721987	-0.6157234	0.5	0.2656431198120117	1.0	4.0	0.0	4.0	0.0	0.0	0.0	4.0	78.0	1.0	0.0	2.0	0.0	5.0	4,12	1677899543974.5508	True	False	50.0	1.0
018C1740F139D4B782022433F111AC1E1FC727E86DE2885D1283A069A5CBB8BE	0.23979975	0.694483			0.6666666666666666	4.0	1.0	5.0	0.0	1.0	1.0	7.0	67.0				4.0	5.0		1677899543974.5508	True	False		1.0
018EFD19C96934DD6757455BA5ADF4692EC3FEFA5F1E8E20F8AF79138038CBF7	0.08284677	0.4530503			1.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	51.0				4.0	5.0		1677899543974.5508	True	False		1.0
0194B4A3435561AF893602D87D9E83BBD38A40FBC74B9C93E425414AD121AA9B	0.02858034	0.5520144			0.8461538461538461	10.0	3.0	13.0	5.0	0.0	5.0	11.0	264.0				0.0	5.0		1677899543974.5508	True	False		1.0
019F8A0266AC5D59D10FBC51ADB4C99EA8D163CB782D52309636D3D316997863	0.023056934	0.5195587			1.0	0.0	5.0	5.0	0.0	0.0	0.0	2.0	69.0				0.0	5.0		1677899543974.5508	True	False		1.0
01A20A0C6AB194341B287A7FE2D7FE6A9B6312EF091AD7EE40A658D018BEEBD8	0.16940793	-0.38232568			1.0	3.0	2.0	5.0	0.0	0.0	0.0	0.0	28.0				0.0	5.0		1677899543974.5508	True	False		1.0
01B146AA6F3AA0F5A0A46271D21965E320EB938E3F275BD23E1867C6F61425C7	0.2683703	0.3927269	0.0	0.05100545287132263	1.0	14.0	2.0	16.0	0.0	0.0	0.0	1.0	56.0	0.0	0.0	3.0	0.0	5.0	2,12	1677899543974.5508	True	False	298.0	1.0
01B7A387063552F7FDC5385A851ADB59862260CC4890EC471A631E90CA61913E	0.11746725	-0.07611137			1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	8.0				4.0	5.0		1677899543974.5508	True	False		1.0
01C208EAE4A64ECBE5D820375D43C4059C15D1FC16BC29B29B34EB44F1641385	0.2551575	0.13141716			1.0	11.0	0.0	11.0	0.0	0.0	0.0	7.0	84.0				0.0	5.0		1677899543974.5508	True	False		1.0
01C8D4A637B2F711FFE4DF7E40F1DD8FB9DB18164B459553B72AC5FC54E71A39	0.25969514	-0.5707498			1.0	3.0	1.0	4.0	0.0	0.0	0.0	12.0	71.0				4.0	5.0		1677899543974.5508	True	False		1.0
01C9192BAFD574C9F68DAFD77D90D0258954277D021A709F2CB224779B9BB010	0.14407209	0.6188136	1.0	0.5469690561294556	0.7142857142857143	7.0	0.0	7.0	2.0	0.0	2.0	5.0	104.0	1.0	0.0	0.0	0.0	5.0		1677899543974.5508	True	True	39.0	1.0
01CB14BCB61819634EDBA91671D2C873DCEE082A005015318573F439B017A95B	0.13772291	-0.4587467			1.0	3.0	0.0	3.0	2.0	0.0	2.0	5.0	24.0				4.0	5.0		1677899543974.5508	True	False		1.0
01DBEC84C496A779D4E39289A1AAA0C856FABF1401CB00C44BBB3CEBC27F480B	-0.033838566	0.39522493			0.8125	28.0	14.0	42.0	13.0	0.0	13.0	37.0	622.0				0.0	5.0		1677899543974.5508	True	False		1.0
01E57EFA395A34245A6E1097484C880AF476F53C0BFCF13740761859885F41A7	0.12550591	-0.352572			1.0	4.0	0.0	4.0	0.0	0.0	0.0	1.0	34.0				4.0	5.0		1677899543974.5508	True	False		1.0
0207D720549594A42BFF493418C77398B756A89A56CF9C47A4DAA73D864DD816	0.26189926	0.6181427	0.041666666666666664	0.12236181894938152	0.9487179487179487	45.0	2.0	47.0	3.0	2.0	5.0	24.0	379.0	1.0	2.0	27.0	1.0	5.0	4,12	1677899543974.5508	True	False	2070.0	1.0
02080763BA331EAD7A8C5FAA88188F096408708E9AEAE1CBB85F0C2996CBC1F5	0.09689834	-0.6335877			0.6666666666666666	4.0	0.0	4.0	1.0	1.0	2.0	17.0	58.0	0.0	0.0	4.0	4.0	5.0		1677899543974.5508	True	False	6.0	1.0
0208C1EEE87DB05BF1F5DEBC8A1EBDABD299F070A93F0F874A5FCE66EA84BDF7	0.09323024	-0.6648185	0.0	0.1690268317858378	1.0	2.0	1.0	3.0	0.0	0.0	0.0	9.0	50.0	1.0	0.0	6.0	0.0	5.0	4,12	1677899543974.5508	True	False	30.0	1.0
020931EFDE8BED8FC4D9C607E381F58BDB9C4B82ED29075CBF6DEDF9BFFAA1B1	0.30738208	0.49246433	0.0	0.0690044036933354	0.8	16.0	2.0	18.0	1.0	2.0	3.0	20.0	268.0	0.0	0.0	8.0	0.0	5.0	2,11	1677899543974.5508	True	False	881.0	1.0
02116E51F9E88E50DF1F58D5F5012EAF3536D0FEE78AA0A355A6370E518B91C8	0.2742004	-0.52851826			1.0	4.0	7.0	11.0	0.0	1.0	1.0	5.0	102.0				0.0	5.0		1677899543974.5508	True	False		1.0
021574DC2C9D564AF78E5FA697F5672F77350E77127835188CD55320F94C1C2C	0.19788292	-0.7533014			1.0	2.0	0.0	2.0	0.0	0.0	0.0	9.0	75.0	0.0	0.0	2.0	4.0	5.0		1677899543974.5508	True	False	0.0	1.0
0217628AE45C2338152993417116D252783A28726C3348135A4944A35186F146	0.23144913	-0.30248702			1.0	5.0	2.0	7.0	0.0	0.0	0.0	2.0	12.0				0.0	5.0		1677899543974.5508	True	False		1.0
0219D3042AA43E3C6AD93EE0763B1DD380E7885AC68A9004E422D6E9BB8B13FD	0.10046336	0.4695479			1.0	4.0	0.0	4.0	0.0	0.0	0.0	1.0	9.0				4.0	5.0		1677899543974.5508	True	False		1.0
0227732163D17229552A83C790985AAEA1222C6D7212C1EE211F2B03339A1E6E	0.11276431	-0.31856006			1.0	3.0	2.0	5.0	0.0	0.0	0.0	2.0	21.0				0.0	5.0		1677899543974.5508	True	False		1.0
022CF442EF0DEF5D8A1E1AECA4D927228BD2C5E6FB7FB404A8B468DE2967EFA9	0.21393587	-0.37086722			1.0	2.0	1.0	3.0	0.0	0.0	0.0	5.0	32.0				0.0	5.0		1677899543974.5508	True	False		1.0
023029691E61AC880C2E933CA0682F4C8C3DAFDC9875783254EF838CFF0D7992	0.07408208	0.4577476			1.0	1.0	2.0	3.0	0.0	0.0	0.0	3.0	30.0	0.0	0.0	1.0	4.0	5.0		1677899543974.5508	True	False	4.0	1.0
02315968F07B14EDED78BB7D8EE3A12761DF03C6A02CC4C91253588E8B490E1A	0.13680533	-0.28612226			1.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0				0.0	5.0		1677899543974.5508	True	False		1.0
023448F05C372BFEF4D08083A9DAAB5B279E4565E37DB6C258C33145AD34EA37	0.27683023	0.056630123			1.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	13.0				4.0	5.0		1677899543974.5508	True	False		1.0
0235713CA13AEDACC4696FDB703161416B12C306EB89A68285A24DD5C6560C9E	0.12073406	-0.05068028			1.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	23.0				4.0	5.0		1677899543974.5508	True	False		1.0
023CE345167CED35433A67E6EA2F576BA64734543217B3EA7A032EC703C59CC0	0.24475121	-0.02399285			1.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	18.0				4.0	5.0		1677899543974.5508	True	False		1.0
02451F973B0D58C7B57526216315CC9C38FBB1E018DBB2CECE5CB094864834E1	0.19196714	-0.36010763			1.0	7.0	0.0	7.0	0.0	0.0	0.0	3.0	18.0				0.0	5.0		1677899543974.5508	True	False		1.0
024C5A352E19A6B7B1A3F6F7CB9D3155077070F876B20B5ED614275701700C76	0.18399933	0.27253956			1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	24.0				4.0	5.0		1677899543974.5508	True	False		1.0
024DE5B3EA6F6BBE9DCFB5B777A28797C251608920F3A73F29E13272AF0694C1	0.083620906	-0.47560453			1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	18.0				4.0	5.0		1677899543974.5508	True	False		1.0
024E9C2132658F6D841C91835F8192FF6C242BFDA2429E49A78D9C2300A66834	0.13646135	0.75266117			1.0	2.0	6.0	8.0	0.0	0.0	0.0	63.0	350.0	0.0	0.0	2.0	0.0	5.0		1677899543974.5508	True	False	0.0	1.0
02513237C1078B095E0BED045E5E39E1D4CEDAE3DAB9691AF459BB046794890E	0.12590754	-0.5230104			1.0	2.0	0.0	2.0	0.0	0.0	0.0	7.0	42.0				4.0	5.0		1677899543974.5508	True	False		1.0
025325E9D130B592710E13A59E87A4DCB140EB58BE4F0CC3B60F69BFD13B2DA8	0.23034833	0.22715923			1.0	3.0	0.0	3.0	0.0	0.0	0.0	2.0	49.0				4.0	5.0		1677899543974.5508	True	False		1.0
025B09A7F81970AF380F03D74C5B057BA1DC18DCCD1F5ED4F9812D4A3B272A45	0.014292132	0.28300855	0.0	0.07210207730531693	1.0	0.0	2.0	2.0	1.0	0.0	1.0	3.0	20.0	0.0	0.0	2.0	4.0	5.0	4,7	1677899543974.5508	True	False	33.0	1.0
026BFC2CA42CE2B27983687E28DEF90E6D4B691888D0D642488A4A0C2E6E4D8D	0.267597	-0.346462			1.0	11.0	0.0	11.0	0.0	0.0	0.0	3.0	114.0	0.0	0.0	1.0	0.0	5.0		1677899543974.5508	True	False	0.0	1.0
02716E1ED127A4BB27A17DC0754C142F2B11834CC10A7F5E09CD1553B5DC09A3	0.24372806	0.24684726			1.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0	19.0				4.0	5.0		1677899543974.5508	True	False		1.0
0276DE7A118910C39D428285872E8A1DD5FCA2095266832C47C5D460C6C3359D	0.30569664	0.41262615	0.16666666666666666	0.13858556747436523	1.0	11.0	1.0	12.0	0.0	0.0	0.0	13.0	141.0	1.0	0.0	8.0	0.0	5.0	4,12	1677899543974.5508	True	False	133.0	1.0
027B516708F571C1E3103457D302784DCC8350E7ECDA5CC91E4B4D93429620A9	0.0787487	-0.3213626			1.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	31.0				0.0	5.0		1677899543974.5508	True	False		1.0
02800FF108BE59FEF446599E0AB32A8F08D887301049C1F582D01E9161028C6E	0.07419359	0.15103011			1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	41.0				4.0	5.0		1677899543974.5508	True	False		1.0
02818FD488F28637526FF62C474595363B0B15560A8790A899E6BA1975866A0B	0.09141041	0.45156392			1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	21.0				4.0	5.0		1677899543974.5508	True	False		1.0
02935A975A9F922BB16FB3E77715029BCB2F798B649D39EB880116340F72F7BA	0.113102674	-0.076937966	0.0	0.2536579966545105	1.0	13.0	3.0	16.0	0.0	0.0	0.0	21.0	93.0	0.0	0.0	6.0	0.0	5.0	4,6	1677899543974.5508	True	False	112.0	1.0
0294C1E5566224725563447A708151FED42DC0D9D324703D894A2238CD06FC9E	0.06793905	0.3337688			1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	35.0				4.0	5.0		1677899543974.5508	True	False		1.0
02983170DBBB7E9EEED7A6A6CA045AC212AF9E98B48EE2E5E12E151C3C502350	0.037404057	0.5470681			1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	40.0				4.0	5.0		1677899543974.5508	True	False		1.0
02A585C3B3082C5CC5D4D18C24701D34A73E23D527425CE0E6C9E48EB6FED27F	0.06935896	0.14665303			1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	29.0				4.0	5.0		1677899543974.5508	True	False		1.0
02AFE3AA4E1ED143FE3663FCF57456C07F1132B1E82A94560027887A0226FFE7	0.10257581	0.50500226	0.0	0.1608147770166397	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	1.0	4.0	5.0		1677899543974.5508	True	False	17.0	1.0
02B5C14F3667CE640725D9A1AF0417320292F579EC343D332A27B97C3FE73863	0.19824585	-0.3350285			1.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	33.0				0.0	5.0		1677899543974.5508	True	False		1.0
02BB06B96634545CDE8AE7D9E3BC398878BD173721034D6147B5B0A069646B61	0.24866927	0.1897956			0.6666666666666666	2.0	0.0	2.0	0.0	1.0	1.0	2.0	42.0				4.0	5.0		1677899543974.5508	True	False		1.0
02C9FB2F3FB19A4FFC0C6A664592002B8173D0E18DEEA23B7D4F503CAB345894	0.22158165	-0.14011697			1.0	4.0	0.0	4.0	0.0	1.0	1.0	0.0	9.0				4.0	5.0		1677899543974.5508	True	False		1.0
02CA9EA7321027762E4DE5E2DF1881C8FBE282A7A03D158376E3A2884E50CCAA	0.20492668	-0.30744317			1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	31.0				4.0	5.0		1677899543974.5508	True	False		1.0
02CBE2F8645B6B72D9A6BFA1584F47DE4359C9AEFA6C13C2C73D5F003A7C441B	0.1434604	-0.6043485			0.6666666666666666	4.0	2.0	6.0	0.0	1.0	1.0	2.0	38.0				0.0	5.0		1677899543974.5508	True	False		1.0
02DC809129DB66641FBE6CB1E3DBC8B9677556E6DC5A5B9D7C29BF59C6A41E25	0.23091485	-0.19410914			1.0	4.0	5.0	9.0	0.0	0.0	0.0	7.0	46.0				0.0	5.0		1677899543974.5508	True	False		1.0
02DDA2D83A8F90D0FDDE516D22BE1E8008F4A5E3AB2B4ACC67011012F01CD6BC	0.20937419	0.06250792	0.0	0.1529746651649475	1.0	2.0	0.0	2.0	1.0	0.0	1.0	3.0	56.0	0.0	0.0	2.0	4.0	5.0	2,12	1677899543974.5508	True	False	53.0	1.0
02E3D4ECE49A10A31919F88CBD39FEDA0BA3813682B774D9D9F8071F2F6825D3	0.30626795	0.22184658	0.0	0.19814032316207886	0.9545454545454546	21.0	2.0	23.0	0.0	0.0	0.0	12.0	261.0	0.0	0.0	11.0	0.0	5.0	2,12	1677899543974.5508	True	False	310.0	1.0
02F70EFAC1253BC08001189ED4506B12041CB9319D29757F1F208C8AA84C443E	0.24159276	-0.46730325	0.0	0.15872739255428314	1.0	2.0	0.0	2.0	0.0	0.0	0.0	7.0	38.0	0.0	0.0	3.0	4.0	5.0		1677899543974.5508	True	False	7.0	1.0
02FE2E1DB617DB4A1C45389DDB8721DE59F2A00A03167414EEB0A3148FE16391	0.1540129	-0.14242263			1.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	25.0				4.0	5.0		1677899543974.5508	True	False		1.0
0308CE8A78EC52596E43E4D91A37D4CA4A308D3F817107C99E29C3F3A0A252D8	0.032245692	0.34649825			1.0	1.0	4.0	5.0	0.0	0.0	0.0	4.0	56.0	0.0	0.0	2.0	0.0	5.0		1677899543974.5508	True	False	0.0	1.0
030FFC5A8778B72C7107FB997D5BC5E290BAF2AF4B3BA1D3E58DC9D2436EE636	0.32130635	-0.37754476	0.0	0.11999090015888214	1.0	4.0	3.0	7.0	0.0	0.0	0.0	15.0	115.0	0.0	0.0	7.0	0.0	5.0	4,7	1677899543974.5508	True	False	121.0	1.0
